# qpkg_filename                  package_name         version      arch   short_path                               hash
Unmanic_250926_arm-x31.qpkg      Unmanic              250926       a31    sherpa.packages/QPKGs/Unmanic/build      538ea47be45029e03bb689fdfe3af396
Unmanic_250926_arm-x41.qpkg      Unmanic              250926       a41    sherpa.packages/QPKGs/Unmanic/build      c66980cf4a622a315c8f174f3e9a6fc7
Unmanic_250926_x86_64.qpkg       Unmanic              250926       i64    sherpa.packages/QPKGs/Unmanic/build      dc912441cc8e5b6c846b899862bcc486
Unmanic_250926_x86_ce53xx.qpkg   Unmanic              250926       i53    sherpa.packages/QPKGs/Unmanic/build      fe5d721b0ae4dab90e6ac68e09937890
Unmanic_250926_x86.qpkg          Unmanic              250926       i86    sherpa.packages/QPKGs/Unmanic/build      7594b224c34ecd188bd1ef65f14b1ba7
Unrar_7.0.8_arm_64.qpkg          Unrar                7.0.8        a64    sherpa.packages/QPKGs/Unrar/build        6f13faaa829aa55c9e08b005e4a3beaa
Unrar_7.0.8_arm-x41.qpkg         Unrar                7.0.8        a41    sherpa.packages/QPKGs/Unrar/build        0d31704e9c094b63723cec45d2da723f
Unrar_7.0.8_x86_64.qpkg          Unrar                7.0.8        i64    sherpa.packages/QPKGs/Unrar/build        205ae961938432f74af2398577728034
WebSSH_250926_arm_64.qpkg        WebSSH               250926       a64    sherpa.packages/QPKGs/WebSSH/build       00c99e649b94df61a6366113ada56100
WebSSH_250926_x86_64.qpkg        WebSSH               250926       i64    sherpa.packages/QPKGs/WebSSH/build       4f416a6638844cd33f2d342500710a93
WebSSH_250926_x86_ce53xx.qpkg    WebSSH               250926       i53    sherpa.packages/QPKGs/WebSSH/build       337603dac599b82157a8cfa38fdbce8e
WebSSH_250926_x86.qpkg           WebSSH               250926       i86    sherpa.packages/QPKGs/WebSSH/build       006579eca232757f1ccec3235687e697
