# checksum_filename                  qpkg_filename                    package_name         version      arch   short_path                               hash
sherpa_250726.qpkg.md5               sherpa_250726.qpkg               sherpa               250726       all    sherpa.packages/QPKGs/sherpa/build       57d7e4591f62fb3bbc579ac5c4927d4c
SortMyQPKGs_250705.qpkg.md5          SortMyQPKGs_250705.qpkg          SortMyQPKGs          250705       all    SortMyQPKGs/build                        432955e4fee2c0a97e3cf92fe93fe1fc
TrguiNG_250919.qpkg.md5              TrguiNG_250919.qpkg              TrguiNG              250919       all    sherpa.packages/QPKGs/TrguiNG/build      013451861813b18c76160a30b3f6ff3d
Unmanic_250919_arm_64.qpkg.md5       Unmanic_250919_arm_64.qpkg       Unmanic              250919       a64    sherpa.packages/QPKGs/Unmanic/build      836d90152d06eb52bf5e575a502d4934
Unmanic_250919_arm-x19.qpkg.md5      Unmanic_250919_arm-x19.qpkg      Unmanic              250919       a19    sherpa.packages/QPKGs/Unmanic/build      e9f545a322bf2df1a506edd4d0d099a2
Unmanic_250919_arm-x31.qpkg.md5      Unmanic_250919_arm-x31.qpkg      Unmanic              250919       a31    sherpa.packages/QPKGs/Unmanic/build      977cfa2da6ce2d84533ed72ab21b00fa
Unmanic_250919_arm-x41.qpkg.md5      Unmanic_250919_arm-x41.qpkg      Unmanic              250919       a41    sherpa.packages/QPKGs/Unmanic/build      8c176bdfcc927a429fd4eae65ee515a5
Unmanic_250919_x86_64.qpkg.md5       Unmanic_250919_x86_64.qpkg       Unmanic              250919       i64    sherpa.packages/QPKGs/Unmanic/build      f8c2b515f8a0a9a166c8d4911ff5c861
Unmanic_250919_x86_ce53xx.qpkg.md5   Unmanic_250919_x86_ce53xx.qpkg   Unmanic              250919       i53    sherpa.packages/QPKGs/Unmanic/build      a7968d05f7d796b5396d30dafcae62f7
Unmanic_250919_x86.qpkg.md5          Unmanic_250919_x86.qpkg          Unmanic              250919       i86    sherpa.packages/QPKGs/Unmanic/build      5fc6f1107d9a1ff45a3e87e9d0b73bcf
Unrar_7.0.8_arm_64.qpkg.md5          Unrar_7.0.8_arm_64.qpkg          Unrar                7.0.8        a64    sherpa.packages/QPKGs/Unrar/build        6f13faaa829aa55c9e08b005e4a3beaa
Unrar_7.0.8_arm-x41.qpkg.md5         Unrar_7.0.8_arm-x41.qpkg         Unrar                7.0.8        a41    sherpa.packages/QPKGs/Unrar/build        0d31704e9c094b63723cec45d2da723f
Unrar_7.0.8_x86_64.qpkg.md5          Unrar_7.0.8_x86_64.qpkg          Unrar                7.0.8        i64    sherpa.packages/QPKGs/Unrar/build        205ae961938432f74af2398577728034
WebSSH_250919_arm_64.qpkg.md5        WebSSH_250919_arm_64.qpkg        WebSSH               250919       a64    sherpa.packages/QPKGs/WebSSH/build       352a7e8066d71105b920c8a94bc67dfb
WebSSH_250919_x86_64.qpkg.md5        WebSSH_250919_x86_64.qpkg        WebSSH               250919       i64    sherpa.packages/QPKGs/WebSSH/build       f1fa0eb339023099385344136862628d
WebSSH_250919_x86_ce53xx.qpkg.md5    WebSSH_250919_x86_ce53xx.qpkg    WebSSH               250919       i53    sherpa.packages/QPKGs/WebSSH/build       9b0a49adc47bcf530dd3f1d4cf6ed33a
WebSSH_250919_x86.qpkg.md5           WebSSH_250919_x86.qpkg           WebSSH               250919       i86    sherpa.packages/QPKGs/WebSSH/build       19404cfb526c952d988f1efdb258e083
